Punkt,RT-90 O,RT-90 N,RUTT,RUTTNAMN,PUNKTNAMN,PUNKTBESKR,ÅR,xcoord,ycoord
1,1328502,6141940,01CNO,Trelleborgsområdet,Albäcksskogen,,2010,13.0995786323131,55.3773320622477
2,1326396,6141692,01CNO,Trelleborgsområdet,Skåre,,2010,13.0665487749363,55.3743674159968
3,1326380,6145940,01CNO,Trelleborgsområdet,Rängvägen,,2010,13.0636577670412,55.4124744334775
4,1325636,6148884,01CNO,Trelleborgsområdet,Håslöv,,2010,13.0500841473013,55.4386234748934
5,1328855,6149190,01CNO,Trelleborgsområdet,N Värplinge,,2010,13.1006966567351,55.4425033656452
6,1330925,6145964,01CNO,Trelleborgsområdet,Odinsborg,,2010,13.13532432998,55.414276937927
7,1335234,6148884,01CNO,Trelleborgsområdet,V Alstad,,2010,13.2015648967093,55.441943698899
8,1337754,6148934,01CNO,Trelleborgsområdet,Fru Alstad,,2010,13.2413129046648,55.4432330362721
9,1337374,6145584,01CNO,Trelleborgsområdet,V Virestad,,2010,13.2372681937731,55.4130471958362
10,1341688,6146855,01CNO,Trelleborgsområdet,Hagalund,,2010,13.3045950668057,55.4258635878278
11,1345654,6147544,01CNO,Trelleborgsområdet,Vallåker,,2010,13.3667956873194,55.4333109693614
12,1347404,6145124,01CNO,Trelleborgsområdet,Jordberga,,2010,13.3957398049591,55.4121412471516
13,1348944,6141724,01CNO,Trelleborgsområdet,Annexdal,,2010,13.4218713751332,55.3821048313851
14,1348378,6138566,01CNO,Trelleborgsområdet,Vipphög,,2010,13.4146602646917,55.3535892932129
15,1349062,6140636,01CNO,Trelleborgsområdet,Hemmesdynge,,2010,13.4243184644263,55.3723769035608
16,1344854,6136904,01CNO,Trelleborgsområdet,Smygehuk,,2010,13.3600735998479,55.3375751360582
17,1341993,6138949,01CNO,Trelleborgsområdet,V Torp,,2010,13.3138768817628,55.355016028976
18,1338694,6138644,01CNO,Trelleborgsområdet,Gislöv,,2010,13.2620918762628,55.3512079749106
19,1335320,6140720,01CNO,Trelleborgsområdet,Metso Min,,2010,13.2077365945438,55.3687177008171
20,1332338,6141664,01CNO,Trelleborgsområdet,Trelleborg,,2010,13.160190870334,55.3761796497412
1,1342735,6190183,02CNO,Eslöv,Ellinge,,2010,13.2963827867394,55.8149965671645
2,1347126,6188664,02CNO,Eslöv,Skarhults kyrka,,2010,13.367213782372,55.8027746997581
3,1347289,6185346,02CNO,Eslöv,Roslövsholm,,2010,13.3716693215966,55.7730521504101
4,1345796,6183108,02CNO,Eslöv,Flyinge reningsverk,,2010,13.3491653409604,55.7524964485841
5,1349746,6178698,02CNO,Eslöv,Sandby mosse,,2010,13.4144391490568,55.714162947824
6,1346729,6177379,02CNO,Eslöv,Måryd,,2010,13.3672192041538,55.7013830558238
7,1348056,6173835,02CNO,Eslöv,Torna hällestad,,2010,13.3902688900174,55.6699972371021
8,1343577,6176253,02CNO,Eslöv,Billebjär,,2010,13.317776008536,55.6902736500971
9,1342019,6177176,02CNO,Eslöv,Hardeberga,,2010,13.2924951229276,55.698051467664
10,1333534,6177492,02CNO,Eslöv,Lunds reningsverk,,2010,13.1575027786523,55.698051525755
11,1327578,6177228,02CNO,Eslöv,Örestads golfklubb,,2010,13.0630541093737,55.6936044189425
12,1327420,6185130,02CNO,Eslöv,Hög,,2010,13.0555611762457,55.7644399966462
13,1333627,6185879,02CNO,Eslöv,Stångby mosse,,2010,13.1538789613314,55.773332234697
14,1328431,6191283,02CNO,Eslöv,Dagstorp,,2010,13.067775597469,55.8199999713823
15,1330700,6194475,02CNO,Eslöv,Gissleberga,,2010,13.1019452330986,55.8494373123702
16,1338846,6199025,02CNO,Eslöv,Strö ängar,,2010,13.2291619592154,55.8930499845971
17,1342590,6198175,02CNO,Eslöv,Selarp skogen,,2010,13.2894391894451,55.8866605174877
18,1345229,6198018,02CNO,Eslöv,Bosarps Jär,,2010,13.3316623095679,55.8861062694336
19,1349384,6198924,02CNO,Eslöv,Stehag,,2010,13.3974980303749,55.8955524241021
20,1348231,6194321,02CNO,Eslöv,Stavröd,,2010,13.3816612332828,55.8538859665922
1,1323952,6183007,02CNV,Saxtorp,,,2010,13.0017474053482,55.7441465968154
2,1322196,6182082,02CNV,Saxtorp,,,2010,12.9744231559649,55.7352076944186
3,1321619,6183445,02CNV,Saxtorp,,,2010,12.9643602178374,55.7472227221246
4,1321588,6184967,02CNV,Saxtorp,,,2010,12.962873382935,55.7608645657463
5,1319897,6186248,02CNV,Saxtorp,,,2010,12.9351258315852,55.7717298154786
6,1320434,6189999,02CNV,Saxtorp,,,2010,12.9412009951459,55.8055771870165
7,1319884,6191931,02CNV,Saxtorp,,,2010,12.9311625357059,55.8227031977102
8,1321421,6192558,02CNV,Saxtorp,,,2010,12.9552424173065,55.8288980710364
9,1321805,6193346,02CNV,Saxtorp,,,2010,12.9608458736886,55.8361085791642
10,1320324,6194918,02CNV,Saxtorp,,,2010,12.9361992600615,55.849661201917
11,,,02CNV,Saxtorp,,,2010,12.9361992600615,55.849661201917
12,1317815,6197466,02CNV,Saxtorp,,,2010,12.8944829929635,55.871576260776
13,1319913,6198765,02CNV,Saxtorp,,,2010,12.9270920914446,55.8840162776652
14,1322641,6198723,02CNV,Saxtorp,,,2010,12.9706582238057,55.8846507329263
15,1323646,6196976,02CNV,Saxtorp,,,2010,12.9878348618621,55.8693477356035
16,1322829,6196148,02CNV,Saxtorp,,,2010,12.9753410623182,55.8616207830714
17,1321915,6193911,02CNV,Saxtorp,,,2010,12.9622290818208,55.8412174628783
18,1322137,6192206,02CNV,Saxtorp,,,2010,12.966883763537,55.8260045620725
19,1322963,6190108,02CNV,Saxtorp,,,2010,12.9814119588421,55.8074874925614
20,1322588,6187780,02CNV,Saxtorp,,,2010,12.9769543518674,55.786466403661
1,1336884,6172596,02CSO,Staffanstorp,,,2010,13.2136338588103,55.6552589845737
2,1335436,6170764,02CSO,Staffanstorp,,Från Gullåkra mosse längs Gullåkravägen och Västanväg till Domarringen i Staffanstorp.,2010,13.1917504396618,55.6383335475747
3,1331532,6169700,02CSO,Staffanstorp,,"Från Domarringen västerut till Tottarp, varifrån vägen följs söderut till Nordanå.",2010,13.1304753272116,55.6274512825391
